nationality,image,name,club,position,height,foot,age
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/FR.svg,85260.png,Kylian Mbappé,Paris Saint-Germain,Attacking Midfielder Left,178,Right,25
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/EG.svg,52690.png,Mohamed Salah,Liverpool,Attacking Midfielder Right,175,Left,31
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/NO.svg,88100.png,Erling Haaland,Manchester City,Forward Centre,194,Left,23
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/EN.svg,49590.png,Harry Kane,Bayern München,Attacking Midfielder Centre,188,Right,30
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/BE.svg,41105.png,Kevin de Bruyne,Manchester City,Midfielder Centre,181,Right,32
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/AR.svg,2772.png,Lionel Messi,Inter Miami CF,Attacking Midfielder Right Centre,170,Left,36
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/BR.svg,90068.png,Vinícius Júnior,Real Madrid,Attacking Midfielder Left,176,Right,23
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/PO.svg,34893.png,Robert Lewandowski,Barcelona,Forward Centre,185,Right,35
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/EN.svg,101902.png,Jude Bellingham,Real Madrid,Midfielder Right Left Centre,185,Right,20
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/ES.svg,82178.png,Hernández Rodri,Manchester City,Defensive Midfielder Centre,191,Right,27
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/BR.svg,68359.png,Becker Alisson,Liverpool,Goalkeeper,192,Right,31
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/BE.svg,38848.png,Thibaut Courtois,Real Madrid,Goalkeeper,199,Left,31
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/KO.svg,45279.png,Heung-Min Son,Tottenham Hotspur,Attacking Midfielder Right Left,183,Both,31
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/FR.svg,41780.png,Antoine Griezmann,Atlético Madrid,Attacking Midfielder Right Left Centre,176,Left,33
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/BR.svg,38457.png,Júnior Neymar,Al Hilal SFC,Attacking Midfielder Left Centre,175,Both,32
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/BR.svg,68359.png,Becker Alisson,Liverpool,Goalkeeper,192,Right,31
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/BE.svg,38848.png,Thibaut Courtois,Real Madrid,Goalkeeper,199,Left,31
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/KO.svg,45279.png,Heung-Min Son,Tottenham Hotspur,Attacking Midfielder Right Left,183,Both,31
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/FR.svg,41780.png,Antoine Griezmann,Atlético Madrid,Attacking Midfielder Right Left Centre,176,Left,33
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/BR.svg,38457.png,Júnior Neymar,Al Hilal SFC,Attacking Midfielder Left Centre,175,Both,32
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/FR.svg,3884.png,Karim Benzema,Al Ittihad,Forward Centre,187,Both,36
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/PO.svg,68182.png,Bernardo Silva,Manchester City,Midfielder Right Centre,173,Left,29
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/PO.svg,64598.png,Bruno Fernandes,Manchester United,Midfielder Centre,179,Right,29
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/GE.svg,38147.png,Ilkay Gündoğan,Barcelona,Defensive Midfielder Centre,180,Both,33
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/GE.svg,29738.png,Toni Kroos,Real Madrid,Defensive Midfielder Centre,182,Both,34
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/CR.svg,4336.png,Luka Modrić,Real Madrid,Midfielder Centre,174,Both,38
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/UR.svg,81249.png,Federico Valverde,Real Madrid,Midfielder Right Centre,182,Right,25
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/EN.svg,88385.png,Trent Alexander-Arnold,Liverpool,Defender Right,175,Right,25
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/GE.svg,70860.png,Joshua Kimmich,Bayern München,Defender Right,176,Right,29
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/BR.svg,56786.png,Corrêa Marquinhos,Paris Saint-Germain,Defender Centre,183,Right,29
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/CR.svg,4336.png,Luka Modrić,Real Madrid,Midfielder Centre,174,Both,38
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/UR.svg,81249.png,Federico Valverde,Real Madrid,Midfielder Right Centre,182,Right,25
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/EN.svg,88385.png,Trent Alexander-Arnold,Liverpool,Defender Right,175,Right,25
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/GE.svg,70860.png,Joshua Kimmich,Bayern München,Defender Right,176,Right,29
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/BR.svg,56786.png,Corrêa Marquinhos,Paris Saint-Germain,Defender Centre,183,Right,29
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/NE.svg,53468.png,Virgil van Dijk,Liverpool,Defender Centre,193,Right,32
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/AU.svg,42005.png,David Alaba,Real Madrid,Defender Left Centre,180,Left,31
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/PO.svg,85994.png,Rúben Dias,Manchester City,Defender Centre,187,Right,26
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/BR.svg,59194.png,Moraes Ederson,Manchester City,Goalkeeper,188,Left,30
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/GE.svg,47215.png,Marc-André Ter Stegen,Barcelona,Goalkeeper,187,Right,31
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/GE.svg,16053.png,Manuel Neuer,Bayern München,Goalkeeper,193,Both,38
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/AR.svg,82491.png,Lautaro Martínez,Internazionale,Forward Centre,174,Right,26
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/BR.svg,93823.png,Goes Rodrygo,Real Madrid,Attacking Midfielder Right Left,174,Right,23
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/AR.svg,52849.png,Paulo Dybala,AS Roma,Attacking Midfielder Right Centre,177,Left,30
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/PO.svg,1131.png,Cristiano Ronaldo,Al Nassr,Forward Centre,187,Both,39
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/GE.svg,16053.png,Manuel Neuer,Bayern München,Goalkeeper,193,Both,38
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/AR.svg,82491.png,Lautaro Martínez,Internazionale,Forward Centre,174,Right,26
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/BR.svg,93823.png,Goes Rodrygo,Real Madrid,Attacking Midfielder Right Left,174,Right,23
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/AR.svg,52849.png,Paulo Dybala,AS Roma,Attacking Midfielder Right Centre,177,Left,30
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/PO.svg,1131.png,Cristiano Ronaldo,Al Nassr,Forward Centre,187,Both,39
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/NG.svg,84372.png,Víctor Osimhen,SSC Napoli,Forward Centre,186,Right,25
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/EN.svg,89018.png,Phil Foden,Manchester City,Midfielder Centre,171,Left,23
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/NO.svg,73424.png,Martin Odegaard,Arsenal,Midfielder Centre,178,Left,25
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/EN.svg,99607.png,Bukayo Saka,Arsenal,Midfielder Right Left,178,Left,22
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/PO.svg,93302.png,Rafael Leão,AC Milan,Attacking Midfielder Left,188,Right,24
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/GE.svg,73265.png,Leroy Sanè,Bayern München,Attacking Midfielder Right Left Centre,184,Left,28
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/NE.svg,82275.png,Frenkie de Jong,Barcelona,Defensive Midfielder Centre,181,Right,26
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/IT.svg,81621.png,Nicolò Barella,Internazionale,Defensive Midfielder Centre,175,Right,27
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/EN.svg,90916.png,Declan Rice,Arsenal,Defensive Midfielder Centre,185,Right,25
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/BR.svg,45184.png,Carlos Casemiro,Manchester United,Defensive Midfielder Centre,184,Right,32
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/GE.svg,73265.png,Leroy Sanè,Bayern München,Attacking Midfielder Right Left Centre,184,Left,28
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/NE.svg,82275.png,Frenkie de Jong,Barcelona,Defensive Midfielder Centre,181,Right,26
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/IT.svg,81621.png,Nicolò Barella,Internazionale,Defensive Midfielder Centre,175,Right,27
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/EN.svg,90916.png,Declan Rice,Arsenal,Defensive Midfielder Centre,185,Right,25
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/BR.svg,45184.png,Carlos Casemiro,Manchester United,Defensive Midfielder Centre,184,Right,32
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/SC.svg,65977.png,Andy Robertson,Liverpool,Defender Left,178,Left,30
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/PO.svg,59016.png,João Cancelo,Manchester City,Defender Right Left,182,Right,29
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/EN.svg,58947.png,John Stones,Manchester City,Defender Right Centre,188,Right,29
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/BR.svg,94241.png,Éder Militão,Real Madrid,Defender Right Centre,186,Right,26
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/GE.svg,53792.png,Antonio Rüdiger,Real Madrid,Defender Right Centre,190,Right,31
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/SL.svg,41018.png,Jan Oblak,Atlético Madrid,Goalkeeper,189,Right,31
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/BR.svg,80266.png,Gabriel Jesus,Arsenal,Attacking Midfielder Right Left,175,Both,27
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/AR.svg,99727.png,Julián Álvarez,Manchester City,Attacking Midfielder Right Left Centre,172,Right,24
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/IT.svg,87638.png,Federico Chiesa,Juventus,Attacking Midfielder Right Left Centre,179,Right,26
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/FR.svg,85984.png,Christopher Nkunku,Chelsea,Attacking Midfielder Right Left Centre,178,Right,26
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/SL.svg,41018.png,Jan Oblak,Atlético Madrid,Goalkeeper,189,Right,31
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/BR.svg,80266.png,Gabriel Jesus,Arsenal,Attacking Midfielder Right Left,175,Both,27
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/AR.svg,99727.png,Julián Álvarez,Manchester City,Attacking Midfielder Right Left Centre,172,Right,24
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/IT.svg,87638.png,Federico Chiesa,Juventus,Attacking Midfielder Right Left Centre,179,Right,26
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/FR.svg,85984.png,Christopher Nkunku,Chelsea,Attacking Midfielder Right Left Centre,178,Right,26
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/GE.svg,34809.png,Thomas Müller,Bayern München,Attacking Midfielder Right Centre,186,Right,34
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/GE.svg,95199.png,Khvicha Kvaratskhelia,SSC Napoli,Attacking Midfielder Left Centre,183,Both,23
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/EN.svg,84384.png,Marcus Rashford,Manchester United,Attacking Midfielder Right Left,185,Right,26
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/SE.svg,56394.png,Sadio Mané,Al Nassr,Attacking Midfielder Right Left,175,Right,32
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/EN.svg,55579.png,Raheem Sterling,Chelsea,Attacking Midfielder Right Left Centre,170,Right,29
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/PO.svg,78093.png,Diogo Jota,Liverpool,Attacking Midfielder Right Left Centre,178,Both,27
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/ES.svg,45710.png,Álvaro Morata,Atlético Madrid,Attacking Midfielder Left,187,Right,31
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/BE.svg,39507.png,Romelu Lukaku,Chelsea,Forward Centre,191,Left,30
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/GE.svg,104640.png,Jamal Musiala,Bayern München,Midfielder Centre,183,Right,21
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/EN.svg,76578.png,James Maddison,Tottenham Hotspur,Midfielder Centre,179,Right,27
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/PO.svg,78093.png,Diogo Jota,Liverpool,Attacking Midfielder Right Left Centre,178,Both,27
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/ES.svg,45710.png,Álvaro Morata,Atlético Madrid,Attacking Midfielder Left,187,Right,31
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/BE.svg,39507.png,Romelu Lukaku,Chelsea,Forward Centre,191,Left,30
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/GE.svg,104640.png,Jamal Musiala,Bayern München,Midfielder Centre,183,Right,21
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/EN.svg,76578.png,James Maddison,Tottenham Hotspur,Midfielder Centre,179,Right,27
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/EN.svg,70608.png,Jack Grealish,Manchester City,Attacking Midfielder Left Centre,175,Right,28
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/CO.svg,95525.png,Luis Díaz,Liverpool,Attacking Midfielder Right Left,180,Right,27
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/ES.svg,84791.png,Mikel Oyarzabal,Real Sociedad,Attacking Midfielder Right Left Centre,181,Left,27
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/FR.svg,84046.png,Ousmane Dembélé,Paris Saint-Germain,Attacking Midfielder Right Left,178,Both,26
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/FR.svg,67010.png,Kingsley Coman,Bayern München,Midfielder Right Left,178,Right,27
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/GE.svg,61101.png,Serge Gnabry,Bayern München,Attacking Midfielder Right Left Centre,173,Right,28
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/AL.svg,58616.png,Riyad Mahrez,Al Ahli SFC,Attacking Midfielder Right Centre,179,Left,33
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/ES.svg,102243.png,Gonzalez Pedri,Barcelona,Midfielder Left Centre,174,Right,21
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/ES.svg,41664.png,Jorge Koke,Atlético Madrid,Defensive Midfielder Centre,178,Right,32
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/IT.svg,41512.png,Marco Verratti,Al-Arabi SC,Defensive Midfielder Centre,165,Right,31
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/GE.svg,61101.png,Serge Gnabry,Bayern München,Attacking Midfielder Right Left Centre,173,Right,28
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/AL.svg,58616.png,Riyad Mahrez,Al Ahli SFC,Attacking Midfielder Right Centre,179,Left,33
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/ES.svg,102243.png,Gonzalez Pedri,Barcelona,Midfielder Left Centre,174,Right,21
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/ES.svg,41664.png,Jorge Koke,Atlético Madrid,Defensive Midfielder Centre,178,Right,32
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/IT.svg,41512.png,Marco Verratti,Al-Arabi SC,Defensive Midfielder Centre,165,Right,31
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/ES.svg,39419.png,Alcântara Thiago,Liverpool,Defensive Midfielder Centre,174,Right,33
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/BR.svg,94642.png,Bruno Guimarães,Newcastle United,Defensive Midfielder Centre,182,Right,26
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/ES.svg,76248.png,Mikel Merino,Real Sociedad,Defensive Midfielder Centre,188,Left,27
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/SC.svg,71021.png,Sergej Milinković-Savić,Al Hilal SFC,Midfielder Centre,192,Right,29
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/GE.svg,58668.png,Leon Goretzka,Bayern München,Defensive Midfielder Centre,189,Right,29
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/FR.svg,57953.png,Adrien Rabiot,Juventus,Defensive Midfielder Centre,191,Left,29
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/CR.svg,47427.png,Mateo Kovačić,Manchester City,Defensive Midfielder Centre,181,Both,29
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/TU.svg,54915.png,Hakan Çalhanoğlu,Internazionale,Defensive Midfielder Centre,178,Right,30
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/CR.svg,49196.png,Marcelo Brozović,Al Nassr,Defensive Midfielder Centre,181,Both,31
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/FR.svg,97514.png,Aurélien Tchouameni,Real Madrid,Defender Centre,187,Right,24
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/FR.svg,57953.png,Adrien Rabiot,Juventus,Defensive Midfielder Centre,191,Left,29
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/CR.svg,47427.png,Mateo Kovačić,Manchester City,Defensive Midfielder Centre,181,Both,29
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/TU.svg,54915.png,Hakan Çalhanoğlu,Internazionale,Defensive Midfielder Centre,178,Right,30
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/CR.svg,49196.png,Marcelo Brozović,Al Nassr,Defensive Midfielder Centre,181,Both,31
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/FR.svg,97514.png,Aurélien Tchouameni,Real Madrid,Defender Centre,187,Right,24
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/EN.svg,97662.png,Reece James,Chelsea,Defender Right Centre,182,Right,24
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/MO.svg,86085.png,Achraf Hakimi,Paris Saint-Germain,Defender Right Left,180,Right,25
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/CA.svg,85954.png,Alphonso Davies,Bayern München,Defender Left,181,Left,23
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/FR.svg,85388.png,Theo Hernández,AC Milan,Defender Left Centre,184,Left,26
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/EN.svg,56409.png,Luke Shaw,Manchester United,Defender Left Centre,185,Left,28
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/ES.svg,46587.png,Daniel Carvajal,Real Madrid,Defender Right,173,Right,32
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/EN.svg,45675.png,Kieran Trippier,Newcastle United,Defender Right Left,177,Right,33
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/EN.svg,37853.png,Kyle Walker,Manchester City,Defender Right Centre,178,Right,33
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/FR.svg,99086.png,William Saliba,Arsenal,Defender Centre,193,Right,23
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/FR.svg,95157.png,Jules Koundé,Barcelona,Defender Right Centre,178,Right,25
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/ES.svg,46587.png,Daniel Carvajal,Real Madrid,Defender Right,173,Right,32
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/EN.svg,45675.png,Kieran Trippier,Newcastle United,Defender Right Left,177,Right,33
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/EN.svg,37853.png,Kyle Walker,Manchester City,Defender Right Centre,178,Right,33
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/FR.svg,99086.png,William Saliba,Arsenal,Defender Centre,193,Right,23
