nationality,image,name,club,position,height,foot,age
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/FR.svg,95157.png,Jules Koundé,Barcelona,Defender Right Centre,178,Right,25
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/KO.svg,90167.png,Min-Jae Kim,Bayern München,Defender Centre,190,Right,27
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/IT.svg,88949.png,Alessandro Bastoni,Internazionale,Defender Centre,190,Left,25
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/NE.svg,87683.png,Matthijs de Ligt,Bayern München,Defender Centre,189,Right,24
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/FR.svg,82312.png,Dayot Upamecano,Bayern München,Defender Centre,186,Right,25
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/GE.svg,20376.png,Mats Hummels,Borussia Dortmund,Defender Centre,191,Right,35
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/FR.svg,74306.png,Lucas Hernández,Paris Saint-Germain,Defender Left Centre,184,Left,28
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/UR.svg,94977.png,Ronald Araújo,Barcelona,Defender Right Centre,188,Right,25
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/BR.svg,89344.png,Gabriel Magalhães,Arsenal,Defender Centre,190,Left,26
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/AR.svg,86903.png,Cristian Romero,Tottenham Hotspur,Defender Centre,185,Right,25
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/UR.svg,65326.png,José María Giménez,Atlético Madrid,Defender Centre,185,Right,29
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/FR.svg,74306.png,Lucas Hernández,Paris Saint-Germain,Defender Left Centre,184,Left,28
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/UR.svg,94977.png,Ronald Araújo,Barcelona,Defender Right Centre,188,Right,25
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/BR.svg,89344.png,Gabriel Magalhães,Arsenal,Defender Centre,190,Left,26
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/AR.svg,86903.png,Cristian Romero,Tottenham Hotspur,Defender Centre,185,Right,25
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/UR.svg,65326.png,José María Giménez,Atlético Madrid,Defender Centre,185,Right,29
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/SV.svg,64070.png,Milan Skriniar,Paris Saint-Germain,Defender Centre,188,Right,29
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/FR.svg,47392.png,Raphaël Varane,Manchester United,Defender Centre,191,Right,30
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/IT.svg,82209.png,Gianluigi Donnarumma,Paris Saint-Germain,Goalkeeper,196,Right,25
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/FR.svg,68131.png,Mike Maignan,AC Milan,Goalkeeper,191,Right,28
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/PO.svg,41634.png,Wojciech Szczęsny,Juventus,Goalkeeper,196,Right,34
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/CA.svg,98250.png,Jonathan David,Lille OSC,Attacking Midfielder Centre,180,Both,24
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/SW.svg,83844.png,Alexander Isak,Newcastle United,Attacking Midfielder Left,192,Right,24
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/BR.svg,81994.png,Andrade Richarlison,Tottenham Hotspur,Attacking Midfielder Right Left Centre,184,Right,26
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/FR.svg,81689.png,Marcus Thuram,Internazionale,Attacking Midfielder Left,192,Right,26
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/EN.svg,76517.png,Ollie Watkins,Aston Villa,Attacking Midfielder Right Left,180,Right,28
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/CA.svg,98250.png,Jonathan David,Lille OSC,Attacking Midfielder Centre,180,Both,24
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/SW.svg,83844.png,Alexander Isak,Newcastle United,Attacking Midfielder Left,192,Right,24
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/BR.svg,81994.png,Andrade Richarlison,Tottenham Hotspur,Attacking Midfielder Right Left Centre,184,Right,26
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/FR.svg,81689.png,Marcus Thuram,Internazionale,Attacking Midfielder Left,192,Right,26
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/EN.svg,76517.png,Ollie Watkins,Aston Villa,Attacking Midfielder Right Left,180,Right,28
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/PO.svg,89761.png,João Félix,Atlético Madrid,Attacking Midfielder Left Centre,180,Both,24
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/GE.svg,88054.png,Kai Havertz,Arsenal,Midfielder Centre,190,Left,24
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/AR.svg,66894.png,Ángel Correa,Atlético Madrid,Attacking Midfielder Right Centre,171,Right,29
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/BR.svg,44009.png,Roberto Firmino,Al Ahli SFC,Attacking Midfielder Centre,181,Right,32
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/BR.svg,100768.png,Gabriel Martinelli,Arsenal,Attacking Midfielder Right Left,180,Right,22
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/UR.svg,95052.png,Darwin Núñez,Liverpool,Attacking Midfielder Left,188,Right,24
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/ES.svg,64398.png,Gerard Moreno,Villarreal CF,Attacking Midfielder Right,177,Left,32
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/FR.svg,47150.png,Wissam Ben Yedder,AS Monaco,Forward Centre,170,Both,33
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/IT.svg,43289.png,Ciro Immobile,SS Lazio,Forward Centre,185,Right,34
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/FR.svg,90892.png,Randal Kolo Muani,Paris Saint-Germain,Attacking Midfielder Right Left,187,Right,25
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/UR.svg,95052.png,Darwin Núñez,Liverpool,Attacking Midfielder Left,188,Right,24
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/ES.svg,64398.png,Gerard Moreno,Villarreal CF,Attacking Midfielder Right,177,Left,32
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/FR.svg,47150.png,Wissam Ben Yedder,AS Monaco,Forward Centre,170,Both,33
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/IT.svg,43289.png,Ciro Immobile,SS Lazio,Forward Centre,185,Right,34
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/FR.svg,90892.png,Randal Kolo Muani,Paris Saint-Germain,Attacking Midfielder Right Left,187,Right,25
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/SC.svg,84966.png,Dušan Vlahović,Juventus,Forward Centre,190,Left,24
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/FR.svg,15177.png,Olivier Giroud,AC Milan,Forward Centre,192,Left,37
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/BI.svg,14540.png,Edin Džeko,Fenerbahçe SK,Forward Centre,193,Both,38
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/GE.svg,104514.png,Florian Wirtz,Bayer Leverkusen,Attacking Midfielder Right Left Centre,176,Right,20
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/EN.svg,90932.png,Mason Mount,Manchester United,Midfielder Centre,178,Right,25
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/BR.svg,87087.png,Lucas Paquetá,West Ham United,Midfielder Left Centre,180,Left,26
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/IT.svg,80829.png,Lorenzo Pellegrini,AS Roma,Midfielder Centre,186,Both,27
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/GE.svg,71893.png,Julian Brandt,Borussia Dortmund,Midfielder Centre,183,Right,27
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/PO.svg,59189.png,Monteiro Otávio,Al Nassr,Midfielder Right Left Centre,171,Right,29
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/GE.svg,35346.png,Marco Reus,Borussia Dortmund,Attacking Midfielder Right Left Centre,180,Both,34
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/BR.svg,87087.png,Lucas Paquetá,West Ham United,Midfielder Left Centre,180,Left,26
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/IT.svg,80829.png,Lorenzo Pellegrini,AS Roma,Midfielder Centre,186,Both,27
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/GE.svg,71893.png,Julian Brandt,Borussia Dortmund,Midfielder Centre,183,Right,27
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/PO.svg,59189.png,Monteiro Otávio,Al Nassr,Midfielder Right Left Centre,171,Right,29
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/GE.svg,35346.png,Marco Reus,Borussia Dortmund,Attacking Midfielder Right Left Centre,180,Both,34
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/SC.svg,19587.png,Dušan Tadić,Fenerbahçe SK,Attacking Midfielder Right Left Centre,181,Left,35
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/SW.svg,100914.png,Dejan Kulusevski,Tottenham Hotspur,Attacking Midfielder Right Centre,186,Left,23
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/FR.svg,94071.png,Moussa Diaby,Aston Villa,Attacking Midfielder Right Left Centre,170,Left,24
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/BR.svg,87870.png,Belloli Raphinha,Barcelona,Attacking Midfielder Right Left,176,Left,27
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/US.svg,85046.png,Christian Pulisic,AC Milan,Attacking Midfielder Right Left Centre,179,Right,25
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/EN.svg,73249.png,Jarrod Bowen,West Ham United,Attacking Midfielder Right Centre,174,Left,27
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/ES.svg,71047.png,Marco Asensio,Paris Saint-Germain,Attacking Midfielder Right Left Centre,182,Left,28
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/IT.svg,59671.png,Domenico Berardi,US Sassuolo,Attacking Midfielder Right,185,Left,29
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/AR.svg,18422.png,Ángel di María,SL Benfica,Attacking Midfielder Right Left Centre,180,Left,36
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/NE.svg,79951.png,Denzel Dumfries,Internazionale,Defender Right,189,Right,28
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/EN.svg,73249.png,Jarrod Bowen,West Ham United,Attacking Midfielder Right Centre,174,Left,27
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/ES.svg,71047.png,Marco Asensio,Paris Saint-Germain,Attacking Midfielder Right Left Centre,182,Left,28
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/IT.svg,59671.png,Domenico Berardi,US Sassuolo,Attacking Midfielder Right,185,Left,29
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/AR.svg,18422.png,Ángel di María,SL Benfica,Attacking Midfielder Right Left Centre,180,Left,36
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/NE.svg,79951.png,Denzel Dumfries,Internazionale,Defender Right,189,Right,28
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/AR.svg,104679.png,Enzo Fernández,Chelsea,Defensive Midfielder Centre,178,Right,23
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/HU.svg,90287.png,Dominik Szoboszlai,Liverpool,Midfielder Right Left Centre,186,Right,23
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/BR.svg,89447.png,Douglas Luiz,Aston Villa,Defensive Midfielder Centre,175,Right,25
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/UK.svg,83640.png,Oleksandr Zinchenko,Arsenal,Defender Left,175,Left,27
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/UR.svg,81732.png,Rodrigo Bentancur,Tottenham Hotspur,Defensive Midfielder Centre,188,Right,26
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/ES.svg,78086.png,Fabián Ruiz,Paris Saint-Germain,Defensive Midfielder Centre,189,Left,28
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/AR.svg,64586.png,Rodrigo de Paul,Atlético Madrid,Midfielder Centre,180,Right,29
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/PO.svg,64152.png,Piotr Zielinski,SSC Napoli,Midfielder Centre,180,Both,29
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/ES.svg,46583.png,Luis Alberto,SS Lazio,Midfielder Centre,182,Right,31
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/DE.svg,43493.png,Christian Eriksen,Manchester United,Defensive Midfielder Centre,182,Both,32
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/ES.svg,78086.png,Fabián Ruiz,Paris Saint-Germain,Defensive Midfielder Centre,189,Left,28
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/AR.svg,64586.png,Rodrigo de Paul,Atlético Madrid,Midfielder Centre,180,Right,29
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/PO.svg,64152.png,Piotr Zielinski,SSC Napoli,Midfielder Centre,180,Both,29
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/ES.svg,46583.png,Luis Alberto,SS Lazio,Midfielder Centre,182,Right,31
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/DE.svg,43493.png,Christian Eriksen,Manchester United,Defensive Midfielder Centre,182,Both,32
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/ES.svg,22857.png,Dani Parejo,Villarreal CF,Defensive Midfielder Centre,180,Right,35
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/ES.svg,110053.png,Pablo Gavi,Barcelona,Midfielder Centre,173,Right,19
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/FR.svg,101125.png,Eduardo Camavinga,Real Madrid,Defender Left,182,Left,21
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/AR.svg,95236.png,Alexis Mac Allister,Liverpool,Defensive Midfielder Centre,174,Right,25
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/CM.svg,82677.png,Frank Anguissa,SSC Napoli,Defensive Midfielder Centre,184,Right,28
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/ES.svg,79262.png,Marcos Llorente,Atlético Madrid,Defender Right,183,Right,29
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/CI.svg,77442.png,Franck Kessié,Al Ahli SFC,Defensive Midfielder Centre,183,Right,27
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/FR.svg,68341.png,N'golo Kanté,Al Ittihad,Defensive Midfielder Centre,169,Right,33
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/BE.svg,67729.png,Youri Tielemans,Aston Villa,Defensive Midfielder Centre,177,Both,26
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/AU.svg,50648.png,Marcel Sabitzer,Borussia Dortmund,Midfielder Right Left Centre,177,Right,30
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/ES.svg,79262.png,Marcos Llorente,Atlético Madrid,Defender Right,183,Right,29
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/CI.svg,77442.png,Franck Kessié,Al Ahli SFC,Defensive Midfielder Centre,183,Right,27
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/FR.svg,68341.png,N'golo Kanté,Al Ittihad,Defensive Midfielder Centre,169,Right,33
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/BE.svg,67729.png,Youri Tielemans,Aston Villa,Defensive Midfielder Centre,177,Both,26
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/AU.svg,50648.png,Marcel Sabitzer,Borussia Dortmund,Midfielder Right Left Centre,177,Right,30
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/AR.svg,39795.png,Henrikh Mkhitaryan,Internazionale,Midfielder Centre,177,Both,35
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/EN.svg,36211.png,Jordan Henderson,Ajax,Defensive Midfielder Centre,182,Right,33
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/ES.svg,104827.png,Martín Zubimendi,Real Sociedad,Defensive Midfielder Centre,181,Right,25
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/NE.svg,96009.png,Teun Koopmeiners,Atalanta BC,Defensive Midfielder Centre,184,Left,26
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/IT.svg,93561.png,Sandro Tonali,Newcastle United,Defensive Midfielder Centre,181,Right,23
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/IT.svg,83199.png,Manuel Locatelli,Juventus,Defensive Midfielder Centre,185,Right,26
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/AL.svg,81611.png,Ismaël Bennacer,AC Milan,Defensive Midfielder Centre,175,Left,26
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/PO.svg,74545.png,Rúben Neves,Al Hilal SFC,Defensive Midfielder Centre,180,Right,27
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/SV.svg,56666.png,Stanislav Lobotka,SSC Napoli,Defensive Midfielder Centre,170,Both,29
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/IT.svg,54042.png,Frello Jorginho,Arsenal,Defensive Midfielder Centre,178,Right,32
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/IT.svg,83199.png,Manuel Locatelli,Juventus,Defensive Midfielder Centre,185,Right,26
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/AL.svg,81611.png,Ismaël Bennacer,AC Milan,Defensive Midfielder Centre,175,Left,26
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/PO.svg,74545.png,Rúben Neves,Al Hilal SFC,Defensive Midfielder Centre,180,Right,27
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/SV.svg,56666.png,Stanislav Lobotka,SSC Napoli,Defensive Midfielder Centre,170,Both,29
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/IT.svg,54042.png,Frello Jorginho,Arsenal,Defensive Midfielder Centre,178,Right,32
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/SU.svg,46443.png,Granit Xhaka,Bayer Leverkusen,Defensive Midfielder Centre,186,Left,31
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/PO.svg,78540.png,João Palhinha,Fulham,Defensive Midfielder Centre,190,Right,28
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/GH.svg,68785.png,Thomas Partey,Arsenal,Defender Right,185,Right,30
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/BR.svg,59007.png,Tavares Fabinho,Al Ittihad,Defender Centre,188,Right,30
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/NE.svg,102385.png,Jeremie Frimpong,Bayer Leverkusen,Defender Right,171,Right,23
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/AR.svg,85672.png,Nahuel Molina,Atlético Madrid,Defender Right,175,Right,26
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/FR.svg,82337.png,Ferland Mendy,Real Madrid,Defender Left,180,Left,28
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/IT.svg,78694.png,Federico Dimarco,Internazionale,Defender Left Centre,175,Left,26
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/IT.svg,64405.png,Giovanni di Lorenzo,SSC Napoli,Defender Right Centre,183,Right,30
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/ES.svg,62557.png,Josè Gayá,Valencia CF,Defender Left,172,Left,28
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/AR.svg,85672.png,Nahuel Molina,Atlético Madrid,Defender Right,175,Right,26
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/FR.svg,82337.png,Ferland Mendy,Real Madrid,Defender Left,180,Left,28
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/IT.svg,78694.png,Federico Dimarco,Internazionale,Defender Left Centre,175,Left,26
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/IT.svg,64405.png,Giovanni di Lorenzo,SSC Napoli,Defender Right Centre,183,Right,30
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/ES.svg,62557.png,Josè Gayá,Valencia CF,Defender Left,172,Left,28
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/PO.svg,59500.png,Raphaël Guerreiro,Bayern München,Defender Left,170,Left,30
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/ES.svg,51983.png,Álex Grimaldo,Bayer Leverkusen,Defender Left,171,Left,28
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/CR.svg,97458.png,Joško Gvardiol,Manchester City,Defender Left Centre,185,Left,22
